series,song,artist,trackId,itunesTitle
"Beastars 2nd Season","Kaibutsu","YOASOBI","",""
"Beastars 2nd Season","Yasashii Suisei","YOASOBI","",""
"Mobile Suit Gundam: The Witch from Mercury","Shukufuku","YOASOBI","",""
"Mobile Suit Gundam: The Witch from Mercury Season 2","Shukufuku","YOASOBI","",""
"[Oshi no Ko]","Idol","YOASOBI","1679278167","Idol"
"Sousou no Frieren","Yuusha","YOASOBI","1707001466","Yuusha"
"Monogatari Series: Off & Monster Season","UNDEAD","YOASOBI","1752838890","UNDEAD"
"Zankoku Douwa: Utsukushi-hime","UNDEAD","YOASOBI","1752838890","UNDEAD"
"Witch Watch","Watch me!","YOASOBI","1813364855","Watch me!"
"Hanazakari no Kimitachi e","Adrena","YOASOBI","1861370949","ADRENA"
"Hanazakari no Kimitachi e","BABY","YOASOBI","1861370984","BABY"
"Angel Beats!","My Soul, Your Beats!","LiSA","845152930","My Soul, Your Beats! (Gldemo Ver.)"
"Angel Beats!","Ichiban no Takaramono ~Yui final ver.~","LiSA","",""
"Back Arrow","dawn","LiSA","1544226872","dawn"
"Boku no Hero Academia 2nd Season","Datte Atashi no Hero.","LiSA","1537899080","Datte Atashino Hero"
"Fate/Apocrypha","ASH","LiSA","1537899543","Ash"
"Fate/stay night: Unlimited Blade Works (TV)","THIS ILLUSION","LiSA","1535802270","THIS ILLUSION"
"Fate/Zero","oath sign","LiSA","1537785552","Oath Sign"
"Genei wo Kakeru Taiyou","träumerei","LiSA","",""
"Kimetsu no Yaiba","Gurenge","LiSA","1538286723","Gurenge"
"Kimetsu no Yaiba","from the edge","LiSA","",""
"Mahouka Koukou no Rettousei","Rising Hope","LiSA","1537788873","Rising Hope"
"Mekakucity Actors","Headphone Actor","LiSA","",""
"Mekakucity Actors","Yuukei Yesterday","LiSA","",""
"Nisekoi:","Rally Go Round","LiSA","1537791346","Rally Go Round"
"Qualidea Code","Brave Freak Out","LiSA","1141786462","Brave Freak Out"
"Qualidea Code","AxxxiS","LiSA","1141786463","Axxxis"
"Sword Art Online","crossing field","LiSA","1537785962","Crossing Field"
"Sword Art Online: Alicization","ADAMAS","LiSA","1537901887","ADAMAS"
"Sword Art Online: Alicization - War of Underworld","unlasting","LiSA","1529543503","Unlasting"
"Sword Art Online II","No More Time Machine","LiSA","1537789955","No More Time Machine"
"Sword Art Online II","Shirushi","LiSA","1537789954","Shirushi"
"Sword Art Online Movie: Ordinal Scale","Catch the Moment","LiSA","1537798030","Catch the Moment"
"Mobile Suit Gundam NT","narrative","LiSA","",""
"Kimetsu no Yaiba Movie: Mugen Ressha-hen","Homura","LiSA","1531847485","homura"
"Kimetsu no Yaiba: Mugen Ressha-hen","Akeboshi","LiSA","1589411366","Akeboshi"
"Kimetsu no Yaiba: Mugen Ressha-hen","Shirogane","LiSA","1592056444","Shirogane"
"Kimetsu no Yaiba: Mugen Ressha-hen","Homura","LiSA","1531847485","homura"
"Sword Art Online: Progressive Movie - Hoshi Naki Yoru no Aria","Yuke","LiSA","1588049004","Yu-Ke"
"Mahouka Koukou no Rettousei 3rd Season","Shouted Serenade","LiSA","1737736349","Shouted Serenade"
"NieR:Automata Ver1.1a Part 2","Black Box","LiSA","1753030850","Black Box"
"Shangri-La Frontier: Kusoge Hunter, Kamige ni Idoman to su 2nd Season","QUEEN","LiSA","1770716765","QUEEN"
"Ore dake Level Up na Ken Season 2: Arise from the Shadow","ReawakeR (feat. Felix of Stray Kids)","LiSA","1783371197","ReawakeR (feat. Felix of Stray Kids)"
"Kimetsu no Yaiba Movie: Mugen Jou-hen Part 1 - Akaza Sairai","Zankoku na Yoru ni Kagayake","LiSA","",""
"BLEACH","Re:pray","Aimer","1536143519","Repray"
"Enen no Shouboutai: Ni no Shou","SPARK-AGAIN","Aimer","1538262061","SPARK-AGAIN"
"Fate/stay night Movie: Heaven's Feel - I. Presage Flower","Hana no Uta","Aimer","1538260051","Hana No Uta"
"Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly","I beg you","Aimer","1538894761","I beg you"
"Fate/stay night: Unlimited Blade Works 2nd Season","Brave Shine","Aimer","1536130474","Brave Shine"
