Artist(s) Name,Track Name
Mirrr; BLVCKHEART , ขึ้นใจ (3am call)
BOWKYLION , นาฬิกาทราย (sign)
KLEAR , พระจันทร์ที่ไม่เต็มดวง
Z9 , ไม่รักดีกว่า
Ink Waruntorn; BILLKIN , ผลข้างเคียง (Love Effects)
BLVCKHEART , อยากจะกอดเธอนาน ๆ (HAVE A GOOD TIME)
JENNIE , HEAVEN
PURPEECH , กลัวว่าฉันจะไม่เสียใจ (Fear)
TaitosmitH; PINKIE , วัฏสงสาร
BOWKYLION; NONT TANONT , ที่คั่นหนังสือ (Sometimes)
PEE CLOCK; YOUNGOHM , รักชักกระตุก
SPF , 9 นาฬิกา
ASIA7 , WHO YOU ARE? (ตะโกน!)
Three Man Down , รักใครไม่ไหว
Mild , ซาโยนาระ
BLVCKHEART , เมื่อไหร่จะมี (มีใจให้กัน)
Pop Pongkool; ดา เอ็นโดรฟิน , สลักจิต (feat. ดา เอ็นโดรฟิน)
PUN , รักให้เธอได้รู้ (Proof.)
Lomosonic , ขอ (WARM EYES)
Musketeers , ความทรงจำ
Loso , ไม่คิดนอกใจ
Three Man Down , เพลงรัก
atom chanakan , PLEASE
PROXIE , ขี้แง (Boys Don't Cry)
YOUNGOHM , เจิดจรัส
BILLKIN; Ink Waruntorn , ลบไม่ได้ช่วยให้ลืม - LIVE SESSION
9tokyo; BLVCKHEART , สายไป
SEA.; Saran , อารมณ์สีเทา
SERIOUS BACON; PP KRIT , คนขี้น้อยใจ (My Fault)
guncharlie , จากกันโดยสมบูรณ์
Cocktail; Q Flure , Yours Ever (feat. Q Flure)
BLVCKHEART; PUN , ได้โปรดอยู่ตรงนี้ (Upside Down)
Season Five , เลือกเองกับมือ (Bad Choices)
Yes'sir Days , ฝากให้เขารัก
BOWKYLION , วิงวอน (ex-change)
PUN , ที่เดิม
Season Five; No One Else , อยากอินเพลงรัก
YOUNGOHM , ใจฉันตามเธอไป
Ink Waruntorn , สักวันฉันจะหายดี
KLEAR , คำยินดี
PUN , Living Death
Bodyslam , ความรัก
Bedroom Audio , รักมือสอง
fellow fellow , รักที่พอดี (enough)
NuNew; BOWKYLION , คาตา (KATA)
JayQ; Z9 , ยังไงก็เธอ
Post Malone; Swae Lee , Sunflower - Spider-Man: Into the Spider-Verse
PUN , ขอแค่นี้ (Forever n ever)
JENNIE , Less than a Lover
Palmy , หลุมอากาศ
Loso , อะไรก็ยอม
KLEAR , ถามเพื่ออะไร
William Jakrapatr , จำได้ว่าลืม (Flashback)
GAVIN:D; BLVCKHEART , ได้แค่เดินมาส่ง (The Last Walk)
BUS , รักมักยาก (Lover Loser)
Loso , คืนจันทร์
PURPEECH , ไม่มีวันไหนที่ไม่คิดถึง (starlost.)
Malcolm Todd , Earrings
BLVCKHEART; K6Y , One Of My Life
อูโน่ หลาวทอง , ย้าย่ายะ
Ariana Grande , hate that i made you love me
YOUNGOHM , Sunset In Pattaya
ETC.; The Parkinson , เมื่อไหร่จะบอก
Maiyarap; Z9 , Rain Zone
IRONBOY; Justmine JMNK , Baddie
YOUNGOHM , นครดารา
JOEY PHUWASIT , Move On แบบใด
Violette Wautier , wanna be yours (อยากให้เธอรัก)
YOUNGOHM , Benz ดำ
ALIE BLACKCOBRA , มือเปล่า (PUT THE GUN DOWN)
FREEHAND , เมื่อถูกค้นพบ (Finally She Found.)
BUS , ดีใจที่ไม่มีเธอ (happy)
WANYAi; Z9 , ดาวตก (Wish) [feat. Z9]
guncharlie , ไม่ได้ลืมแค่ไม่ได้เจอ - Flashback
LUMMUN , ใจบาง
PURPEECH , หนึ่งคนตรงนี้ (I'm here)
Tattoo Colour , ขอให้เราทั้งคู่โชคดี (Good Luck to The Both of Us)
Jeff Satur , ของขวัญปีใหม่ (Golden Night)
Saran; Pearpilincys , กลัวความเสียใจ
JayQ; BLVCKHEART , ฝากไว้ให้ Kiss (feat. BLVCKHEART)
SEA.; Sexski , สมดุลรัก (Balance)
Z9 , บทสรุปสุดท้าย
BOWKYLION; Jeff Satur , ลามปาม (circus)
Jaonaay , ติดเธอซะก่อน (Sweet Baby)
Jigsaw Story; MONICA , จักรวาลไหน (feat. MONICA)
PUN; 1MILL , Perfect
the ge , I love you a latte
fellow fellow; PUN , Milky Way
Palmy , ห้องสี่มุมซ้าย
2Ectasy; Z9 , Faded - Special Version
JayQ; 7Vibes , Hurry up!
PUN , DAY ONE
LITTLE JOHN , ที่ผ่านมาขอบใจจริงๆ
BILLKIN , See You Somewhere - From ซองแดงแต่งผี
Timethai , พูดเหมือนจำ ทำเหมือนเดิม (SAME AGAIN)
Saran; Z9; SIMON , รออยู่อย่างนั้น
HANGMAN , รักเธอหัวทิ่มบ่อ
THE TOYS; NONT TANONT , ดอกไม้ที่รอฝน (spring)
Polycat , เวลาเธอยิ้ม (You Had Me At Hello)
guncharlie , กลับไปใช้ชีวิตแบบเดิม
