Artist(s) Name,Track Name
Tai Orathai , โทรหาแหน่เด๊อ
Duangjan Suwannee , โชว์เบอร์ไม่โชว์ใจ
Takkatan Chollada , สาเหตุแท้จริง .. ที่ทำผู้หญิงเสียใจ
Siriporn Ampaipong , ผู้หญิงหลายมือ
Earnkwan Waranya , ผีเสื้อใจร้ายกับดอกไม้ใจอ่อน
แอร์ สุชาวดี , ติด ร. วิชาลืม
Earn Suruttikarn , คำว่าจบพูดเบาๆ ก็เจ็บ
ฝน ธนสุนทร , นักร้องบ้านนอก
ฝน ธนสุนทร , ใจอ่อน
P Saderd , จิ๊กโก๋นำเข้า
Siriporn Ampaipong , ปริญญาใจ
หญิง ธิติกานต์ อาร์ สยาม , ยอมจำนนฟ้าดิน
Tai Orathai , บ่ฮักบ่ต้องสงสาร
Tai Orathai , คนหนึ่งฝากชีวิต อีกคนคิดไม่ซื่อ
Takkatan Chollada , ทางลัดของคนรอ
Takkatan Chollada , ถนนค้นฝัน
Poppy Pruchayaluck , ต้องฮักให้สุดใจ
Takkatan Chollada , ขอจองในใจ
Takkatan Chollada , ฉันแค่เหงา เขาแค่ปลอบ
Takkatan Chollada , คืนใจให้กัน
Takkatan Chollada , รอเป็นคนถัดไป
Tai Orathai , เจ้าชายของชีวิต
Got Jakraphan; Tai Orathai , ขอบคุณเธอที่ให้ใจ
Tai Orathai , ขอใจกันหนาว
Siriporn Ampaipong , เมียบ่ได้แต่ง
Siriporn Ampaipong , อยากอยู่เงียบๆ สองคน
Siriporn Ampaipong , แจ่วบองในกล่องคอมพ์
Siriporn Ampaipong , คอยทางที่นางรอง
Takkatan Chollada , ยิ่งกว่าคำว่ารัก มากกว่าคำว่าใช่
Takkatan Chollada , คนเหงาที่เข้าใจเธอ
Takkatan Chollada , อย่าโทรมาแค่ปลอบใจ
Takkatan Chollada , มีคนเหงารออยู่เบอร์นี้
Takkatan Chollada , หนาวแสงนีออน
Takkatan Chollada , มีคนเหงารออยู่เบอร์นี้
Takkatan Chollada , ปลายทางของความคิดถึง
Takkatan Chollada , รอเป็นคนถัดไป
Takkatan Chollada , โปรดช่วยกันดูแลคนดี
Mike Piromporn , ละครชีวิต
Mike Piromporn , ขอรักข้างเดียว (เพลงประกอบละคร นายฮ้อยทมิฬ)
Mike Piromporn , ในความคึดฮอดมีแต่เจ้าผู้เดียว
Mike Piromporn , ถนนนักสู้
Mike Piromporn , ขายแรงแต่งนาง
Mike Piromporn , นิ้วนางข้างซ้าย
Mike Piromporn , เดาใจฟ้า
Mike Piromporn , ด้วยแรงแห่งรัก
Mike Piromporn , มีหัวใจไว้รักเธอ
Mike Piromporn , ที่พึ่งคนไกล
Mike Piromporn , ขอจองเป็นแรงใจ
Mike Piromporn , รอสายใจสั่งมา
Mike Piromporn , เพราะโลกนี้มีเธอ
Mike Piromporn , สาละวนสาละวัน
Mike Piromporn , ถูกบังคับด้วยความคิดถึง
Mike Piromporn , คิดถึงจังเลย
Mike Piromporn , อส.รอรัก
Mike Piromporn , เทพธิดาผ้าซิ่น
Got Jakraphan , ใจสารภาพ
Got Jakraphan , ลืมเจียมหัวใจ
Got Jakraphan , ใจสารภาพ
Got Jakraphan , อย่าปล่อยให้เธอลอยนวล
Got Jakraphan , รักคุณยิ่งกว่าใคร
Got Jakraphan , แทนความคิดถึง
Got Jakraphan , พรุ่งนี้ค่อยร้องไห้
Got Jakraphan , คุณ OK ไหม
Got Jakraphan , แทนคำว่าเหงา
Got Jakraphan , สบายดีหรือเปล่า
Got Jakraphan , รักกันนะคนดี
Phai Phongsathon , ฝนรินในเมืองหลวง
