Artist(s) Name,Track Name
BLVCKHEART; 2TFLOW , ฟีโรโมน
PURPEECH , ภาพถ่ายวันวาน - 1920
เรนิษรา , ผู้ถูกเลือกให้ผิดหวัง (ดอกไม้ฤดูหนาว)
tinn; Earth Patravee , เศษ (Remain) [feat. Earth Patravee]
PURPEECH , ทิ้งไว้อย่างพอใจ(Consoled)
PURPEECH , หากจะเพียงขอ(Sincare)
AYLA's , เพลงที่เธอ(เคย)ชอบฟัง [Decibel]
Anatomy Rabbit , แอบหวัง
YEW , จะมอบความรัก
Dept , ฤดู (Cycle Of Love)
Dept , คงต้องบอกลาแล้ว (Farewell)
Anatomy Rabbit , ขอให้โลกนี้ใจดีกับเธอ
Mirrr , ดอกไม้ไฟ
Uncle Ben , อย่าเป็นฉันเลย Tyrion
Musketeers; Maiyarap , พิจารณา (Consider)
PURPEECH , บังเอิญพบทานตะวัน - .png
YEW , หมวกเมฆสีรุ้ง
Jeff Satur , ลืมไปแล้วว่าลืมยังไง (Fade)
Tattoo Colour , อย่าร้องอายเค้า
Newery , กลิ่นดอกไม้
Plantpot , ให้ฉันเป็นวันที่ดีของเธอ
YEW , ลบเลือน
T_047 , ฤดูใหม่
YENTED; ARARYOZI; Chocolate - t , Her
Better Weather , อย่าเสียใจคนเดียว
Zweed n' Roll , ช่วงเวลา
AYLA's , วิ่งหนีออกไปด้วยความไวสองมัค
Musketeers , งานเต้นรำ
YEW; LANDOKMAI , Summertime
FREEHAND , รสหวาน
Mirrr , นิโคติน
ASIA7 , นักแสวงโชค (The Seeker)
Tattoo Colour , Bad Guy (ฝากที First Idea)
Tattoo Colour , Sweet Word (โกหก Easy Melody)
Tattoo Colour , Luv @1 - Optional Lyrics
ONEONE , ฉันจะมีความสุขให้มากกว่าเธอ (Happier)
atom chanakan , ปล่อยปาก
AYLA's , จากตรงนี้ที่(เคย)สวยงาม [La La Bye]
Safeplanet , ข้างกาย ( With You )
Somkiat , ขอวอน - Version 2
YEW , Moon
Alyn Wee , หัวใจเจ้าเอย​ (Not Again)
SHERRY , เธอไม่ได้สอนให้ฉันอยู่คนเดียว
LANDOKMAI , Tsuki - พระจันทร์
บูม สหรัฐ , ฉันมันเป็นคนแบบนี้
copterxmurf. , 11 นาฬิกา
SPF , 9 นาฬิกา
YEW , ปล่อยดาว (Flaw)
CORNBOI , ก่อนที่... (Moon)
Jaonaay , โกงรักไม่ได้ OST.ละครฉลาดเกมส์โกง
Nont Tanont , ไม่สนิท
atom chanakan , ทางของฝุ่น (Dust)
Pop Pongkool; Wonderframe , Undo
Helmetheads , Unfriend
Bedroom Audio , รักมือสอง
BLVCKHEART; 2T FLOW; K6Y , WHAT IS LUV
Dr.Fuu , ใจเหลือเหลือ
Cocktail , เธอทำให้ฉันเสียใจ
Cocktail , โปรดเถิดรัก
Cocktail; ตูน BODYSLAM; ปั๊บ Potato , "ความคาดหวัง (feat. ตูน BODYSLAM, ปั๊บ Potato)"
Lomosonic , ขอ (WARM EYES)
Cocktail , ต่างคน
Big Ass , ลมเปลี่ยนทิศ
Zeal , เตลิด
Bodyslam , ความรัก
MEAN Band , เราไม่รักกันตอนไหน (Apart)
guncharlie , ไม่ได้ลืมแค่ไม่ได้เจอ - Flashback
AYLA's , เอาความเสียใจมาไว้ที่ฉัน (Vasopressin)
Yes'sir Days , เจ็บไปรักไป
Silly Fools , ผิดที่ไว้ใจ
PURE KANIN , วิวาห์
Ake Surachet , พระจันทร์ยิ้ม
YEW , ปล่อยดาว
Season Five , เลือกเองกับมือ (Bad Choices)
YOUNGOHM , ใจฉันตามเธอไป
BOWKYLION; NONT TANONT , ที่คั่นหนังสือ (Sometimes)
PURPEECH , กลัวว่าฉันจะไม่เสียใจ (Fear)
guncharlie , จากกันโดยสมบูรณ์
Yes'sir Days , ฝากให้เขารัก
Kong Huayrai , ดอกกระเจียวบาน
JOEY PHUWASIT , Move On แบบใด
Tattoo Colour , เจ็บแล้วไม่จำ
Musketeers , ความทรงจำ
Big Ass , หลอกได้หลอกไป
