Artist(s) Name,Track Name
Color Pitch , ขัดใจ
Gift My Project , คนทางนั้น
Cocktail , Heartless
THE RUBE , I'm Sorry (สีดา)
Cocktail , ความเข้าใจ
Big Ass , ไม่เดียงสา
KLEAR , สิ่งของ
25 hours , ไม่เคย
Mild , ซาโยนาระ
KLEAR , เพลงนี้ (ใครบางคนแต่งให้เธอ)
Bedroom Audio , ไม่บอกเธอ
Cocktail , น้ำตาสุดท้าย
60Miles , หากฉันตาย
Room 39 , อย่าให้ฉันคิด
Earth Patravee , SKY & SEA
Room 39 , เป็นทุกอย่าง
THE TOYS , หน้าหนาวที่แล้ว
Jaonaay , คนละชั้น
Mild , Unlovable
KLEAR , ความทรมานที่แสนมีความสุข
SIN , เธอเปลี่ยนไปแล้ว
Season Five , เพ้อเจ้อ
Gliss , ถอย
25 hours , ทำได้เพียง
Bedroom Audio , กอดไม่ได้
THE TOYS , จดหมาย
Helmetheads , Unfriend
Be Peerapat , พูดตรงตรง
The Mousses , หลอกให้รัก
The Parkinson , เพื่อนรัก
Lula , เรื่องที่ขอ
MEAN Band , หมายความว่าอะไร
Tiger Band , รถของเล่นDa Endorphine , ไม่ขอก็จะให้
Da Endorphine , ดาราพาเหรด
Da Endorphine , ให้รักเดินทางมาเจอกัน (ธาราหิมาลัย)
Pop Pongkool , ฉันทำผิดไหม (เพลงประกอบละคร แฝดนะยะ)
Dome Jaruwat , ลอย
New & Jiew , รัก ไม่ได้แปลว่ายอม
New & Jiew , อย่าเอาเขามาเกี่ยวเรื่องนี้
New & Jiew , อย่าเอาความเหงามาลงที่ฉัน
New & Jiew , ตัวจริงไร้ตัวตน
New & Jiew , ฉันก็รักของฉัน (เพลงประกอบละคร สามีตีตรา)
The Bottom Blues , 1 2 3 4 5 I love you
Tanatat Chaiyaat , คุณและคุณเท่านั้น
Tanatat Chaiyaat , I Love Your Smile
Bird Thongchai , อย่าทำอย่างนี้ไม่ว่ากับใคร...เข้าใจไหม
Bird Thongchai , คนแพ้ที่ไม่มีน้ำตา (เพลงประกอบละคร อย่าลืมฉัน)
Singular , เบาเบา (Tender)
Singular , 24.7 (Twenty Four Seven)
GMM Instrumental , วันเกิดฉันปีนี้ (HBD to me) - Lo-Fi Instrumental
GMM Instrumental , ข่อย - Lo-Fi Instrumental
3.2.1 , มีอีกมั้ย ( Want more shawty )
Tattoo Colour , รักแรกพบ
Tattoo Colour; Soul After Six , จากกันด้วยดี
Potato , ง่ายๆ
Potato , จำอะไรไม่ได้
Potato , ทิ้งไว้กลางทาง
Cocktail , น้ำตาสุดท้าย
Cocktail , ความเข้าใจ
Cocktail , Heartless
KLEAR , One way
KLEAR , เพลงนี้ (ใครบางคนแต่งให้เธอ)
KLEAR , สิ่งของ
KLEAR , ความทรมานที่แสนมีความสุข
Singto Numchok , อยู่ต่อเลยได้ไหม
Room 39 , Restart
Room 39 , หน่วง
Room 39 , เป็นทุกอย่าง
Fymme Bongkot; Ruj Supharuj; LOWFAT , กะทันหัน
60Miles , หากฉันตาย
Ae Jirakorn , จากนี้ไปจนนิรันดร์
Ae Jirakorn; วิน รัตนพล , ใจกลางความรู้สึกดีดี
Ae Jirakorn , ไม่มีตรงกลาง
Groove Riders , เธอทั้งนั้น
Tiger Band , รถของเล่น
Lomosonic , ขอ
getsunova , ไกลแค่ไหน คือ ใกล้
RONNADET , ให้ฉันดูแลเธอ (เพลงประกอบละคร ผู้ใหญ่ลีกับนางมา)
Kao Jirayu; Nat Nattasha , ทุ้มอยู่ในใจ (Acoustic Version) (เพลงประกอบภาพยนตร์ SuckSeed ห่วยขั้นเทพ)
Paradox , ซักซี้ดนึง (เพลงประกอบภาพยนตร์ SuckSeed ห่วยขั้นเทพ)
Asanee & Wasan , บังเอิญติดดิน
No More Tear , เพลงที่ฉันไม่ได้แต่ง (เพลงประกอบภาพยนตร์ SuckSeed ห่วยขั้นเทพ)
อ๊อฟ Big Ass , ทุ้มอยู่ในใจ (เพลงประกอบภาพยนตร์ SuckSeed ห่วยขั้นเทพ)
Aof Pongsak , ความเจ็บยังคงหายใจ
Bell Supol , ไม่ธรรมดา
NONT TANONT , มีผลต่อหัวใจ
Ten Nararak , ต่อให้นับดาวจนหมดฟ้า
Ten Nararak , ถามเอาอะไร
25 hours , ไม่เคย
Stamp , มันคงเป็นความรัก
Musketeers , อยากให้เธอลอง
Basketband , คนน่ารักมักใจร้าย
Pijika , อยู่ๆก็มาปรากฏตัวในหัวใจ
Sugar Eyes , สายตายาว
Candy Mafia , Blink Blink
Olives; ตูมตาม ยุทธนา , แพ้คนขี้เหงา
อะตอม , ห้ามทิ้ง
Am Fine , คนไม่สวยผิดเสมอ
Jeasmine , รักก็ไม่รัก...ทิ้งก็ไม่ทิ้ง
พริกไทย , ใหม่ๆก็รัก
ปาน ธนพร , ให้เลวกว่านี้ (เพลงประกอบละคร ดอกส้มสีทอง)
Fymme Bongkot , เจ็บแค่ไหนก็ยังรักอยู่ (เพลงประกอบละคร อย่าลืมฉัน)
Rose Sirintip , A Tu Corazon สู่กลางใจเธอ
Palmy , อยากหยุดเวลา - เพลงประกอบภาพยนตร์ พี่มาก..พระโขนง
Yinglee SriJumpol , ขอใจเธอแลกเบอร์โทร
Cham Chamrum , กรุณาฟังให้จบ
Bodyslam , แสงสุดท้าย
Bodyslam , ชีวิตยังคงสวยงาม
Bodyslam , เรือเล็กควรออกจากฝั่ง
Bodyslam , เตรียมตัวตาย
Bodyslam , คิดถึง
Slot Machine , จันทร์เจ้า (Goodbye)
Boy Peacemaker , รูปถ่ายที่หายไป
Boy Peacemaker , ส่วนเกิน
Boy Peacemaker , ด้วยความเต็มใจ
Fymme Bongkot , ไม่เจ็บอย่างฉันใครจะเข้าใจ (เพลงประกอบละคร สามีตีตรา)
Lomosonic , ขอ
เบลล์ นันทิตา ฆัมภิรานนท์ , เสียงที่เปลี่ยน
Ebola , เอาให้ตาย
