Artist(s) Name,Track Name
RAYE , WHERE IS MY HUSBAND!
Olivia Dean , Man I Need
Dominic Fike , Babydoll
PinkPantheress; Zara Larsson , Stateside + Zara Larsson
sombr , back to friends
Taylor Swift , The Fate of Ophelia
BTS , SWIM
Bruno Mars , Risk It All
Alex Warren , Ordinary
Band of Silver , Masquerade Ball
Tyla , CHANEL
Lady Gaga; Bruno Mars , Die With A Smile
Justin Bieber , DAISIES
Disco Lines; Tinashe , No Broke Boys
Wexxo , Love It
Billie Eilish , BIRDS OF A FEATHER
ROSÉ; Bruno Mars , APT.
Sabrina Carpenter , When Did You Get Hot?
HUNTR/X; EJAE; AUDREY NUNA; REI AMI; KPop Demon Hunters Cast , Golden
MELINDA LINDNER , ALL I HAVE
sombr , undressed
Taylor Swift , Opalite
Sabrina Carpenter , Manchild
PinkPantheress , Illegal
Lizzie Thomas , Kingdoms Fall
Gracie Abrams , That’s So True
Kendrick Lamar; SZA , luther (with sza)
KATSEYE , Gabriela
WizTheMc; bees & honey , Show Me Love
Or Barak , DOING ALRIGHT
Sabrina Carpenter , Espresso
Lily Allen , Pussy Palace
JENNIE , like JENNIE
The Weeknd; JENNIE; Lily-Rose Depp , "One Of The Girls (with JENNIE, Lily Rose Depp)"
Brett Radachowsky , Fly Away
Lady Gaga , Abracadabra
"Tyler, The Creator" , Sugar On My Tongue
Lola Young , Messy
Benson Boone , Beautiful Things
JANiNA , Tsunami
Doechii , DENIAL IS A RIVER
Olivia Dean , So Easy (To Fall In Love)
HAVEN.; Kaitlin Aragon , I Run
Artemas , i like the way you kiss me
Emmalyne , History
Janet Jackson , Someone To Call My Lover
Sleepy Hallow; Doechii , ANXIETY (feat. Doechii)
Kendrick Lamar , Not Like Us
Sabrina Carpenter , Taste
Elysian Jane , new state of healing
Tinashe , Nasty
Taylor Swift; Post Malone , Fortnight (feat. Post Malone)
"Tyler, The Creator; Kali Uchis" , See You Again (feat. Kali Uchis)
Luchino , My Whole Life
yung kai , blue
Chappell Roan , "Good Luck, Babe!"
Doja Cat , Paint The Town Red
Billie Eilish , WILDFLOWER
Lavi 翁彤薰 , 你不值得 (You're Not Worth It)
KATSEYE , Touch
Hunter Daily , Tough Act To Follow
PinkPantheress; Ice Spice , Boy's a liar Pt. 2
JVKE , golden hour
Young Pwavy , MOOD
Steve Lacy , Bad Habit
Tyla , Water
Gracie Abrams , "I Love You, I'm Sorry"
Brady , Home for Summer
Djo , End of Beginning
Nicky Youre; hey daisy , Sunroof
Joji , Glimpse of Us
Tommy Richman , MILLION DOLLAR BABY
Sierra Levesque , AUTHORITY
Lana Del Rey , Say Yes To Heaven
Sheen , 1-800-HITMYLINE
Zara Larsson , Lush Life
LØLØ , pretty little wreck
Tate McRae , TIT FOR TAT
zukrassverliebt , In My Heart
Tame Impala , Dracula
Tate McRae , greedy
Ariana Grande , the boy is mine
Ava Camille , EXPOSURE
Mitski , My Love Mine All Mine
Maxx Nies , Art
Hozier , Too Sweet
Brie Leigh , Calypso
Cigarettes After Sex , Apocalypse
David Kushner , Daylight
Doja Cat , Agora Hills
Glass Animals , Heat Waves
Billie Eilish , "What Was I Made For? [From The Motion Picture ""Barbie""]"
OneRepublic , I Ain't Worried
Cheat Codes; Lily Fitts , River
The Kid LAROI , NIGHTS LIKE THIS
4batz , act ii: date @ 8
Kali Uchis , Moonlight
Oliver Tree; sped up nightcore , Miss You - Sped Up Version
TackEm , Tidal
Chappell Roan , The Subway
Megan Thee Stallion; 千葉雄喜 , Mamushi (feat. Yuki Chiba)
Justė; Jaxstyle; Jon , Turn The Lights Off
Ariana Grande , "yes, and?"
Jude York , Camilla
YG Marley , Praise Jah In The Moonlight
MISTER & MRS , Call Me Tonight
Lana Del Rey , Radio
OCZ; Nynne Hansen , Lost in you
Imagine Dragons; JID; Arcane; League of Legends , Enemy (with JID) - from the series Arcane League of Legends
Harry Styles , As It Was
Madison , YOUR GIRL
Jack Harlow , Lovin On Me
Jengi , Bel Mercy
Suitcase Rebel , Go
JNR CHOI; Sam Tompkins , TO THE MOON
DaBaby , POP DAT THANG
SZA , Kill Bill
Labrinth , "Forever (From ""Euphoria: Season 1"" Soundtrack)"
Jung Kook; Latto , Seven (feat. Latto)
Nicki Minaj , Super Freaky Girl
Lil Nas X; Jack Harlow , INDUSTRY BABY (feat. Jack Harlow)
Jasmine Rhey , the village is watching
Miguel , Sure Thing - Sped Up
Bruno Major , Nothing
JID; 21 Savage; Baby Tate , Surround Sound (feat. 21 Savage & Baby Tate)
Rex Orange County , THE SHADE
Seafret , Atlantis
Charli xcx , Apple
Kanii; 9lives , Go (Xtayalive 2)
Eric Walker , Second Best
Odetari , KEEP UP
Ben Jarvis , SPORTS CAR
Labrinth , Mount Everest
Beach House , Space Song
Doechii , What It Is (Solo Version)
Cafuné , Tek It
Kate Bush , Running Up That Hill (A Deal With God)
Clean Bandit; Zara Larsson , Symphony (feat. Zara Larsson)
Henry Thompson , All My Fault
BENEE; Gus Dapperton , Supalonely
Brie Leigh , Hidden Love
Drake; Yeat , IDGAF (feat. Yeat)
Lil Nas X , THATS WHAT I WANT
SIDEPIECE; 95 South , Can I Ride
Doja Cat , Woman
Ruebin Able , Our Story
Jaxomy; Agatino Romero; Raffaella Carrà , Pedro
Post Malone; Doja Cat , I Like You (A Happier Song) (with Doja Cat)
The Weeknd; Gesaffelstein , I Was Never There
Jarrod L. Edge , So We Can Let It Go
Aden Foyer , The Ballet Girl
Lesoir , Back To You
TV Girl , Blue Hair
WILLOW , Wait a Minute!
BØRNS , Electric Love
Pharrell Williams , Just A Cloud Away
Charlie Puth , Light Switch
Drake; 21 Savage , Rich Flex
Labrinth , "When I R.I.P. (From ""Euphoria: Season 1"" Soundtrack)"
Gesaffelstein; The Weeknd , Lost in the Fire (feat. The Weeknd)
Earth to Cheska , SHITSHOW
THE ANXIETY; WILLOW; Tyler Cole , Meet Me At Our Spot - Live
LISA , Rockstar
The Kid LAROI; Justin Bieber , STAY (with Justin Bieber)
Arctic Monkeys , Why'd You Only Call Me When You're High?
SALES , Pope Is a Rockstar
Alan Walker; Jordan Shaw , Pain
Tyla; Gunna; Skillibeng , Jump
Dove Cameron , Boyfriend
Joe Stephens , Brain Freeze
VANO 3000; BADBADNOTGOOD; Samuel T. Herring , Running Away
Kevynn Hudsonn , Her Number
JVKE , this is what falling in love feels like
LF SYSTEM , Afraid To Feel
Does , Kept The Lights On
Stephen Sanchez , Until I Found You
Amaarae; Kali Uchis; MOLIY , SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy)
KXNG LVX , Montagem Spirits
24kGoldn; iann dior , Mood (feat. iann dior)
Jack Harlow , First Class
CKay , love nwantiti (ah ah ah)
Homeward , I Don't Need Your Love
ALTÉGO; Britney Spears; Ginuwine , Toxic Pony
The King Khan & BBQ Show , Love You So
